,id,host_since,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_last_scraped,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
28086,21738784,2017-11-11,within an hour,86%,f,1.0,"['email', 'reviews']",f,Altadena,Altadena,91001,34.182538320876816,-118.14690296528583,Guesthouse,Entire home/apt,7,2.0,3.0,5.0,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",Bathtub,""Game console"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed"",""Flat path to front door"",""Step-free access"",""Step-free access""}",300.0,,$75.00,7,$25.00,2,1125,2018-09-09,45,92.0,10.0,9.0,10.0,10.0,9.0,9.0,f,moderate,f,f,1,4.69
7488,7112899,2014-08-14,within an hour,100%,f,6.0,"['email', 'phone', 'reviews', 'kba']",t,Echo Park,Echo Park,90026,34.091947182269045,-118.24909111912164,Guesthouse,Entire home/apt,4,1.0,0.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Long term stays allowed""}",134.0,,$10.00,2,$20.00,1,1125,2018-09-08,346,93.0,9.0,9.0,10.0,10.0,10.0,9.0,t,flexible,f,f,6,8.96
32736,23729218,2018-03-11,,,f,2.0,"['phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",f,Lomita,Lomita,90717,33.794538332687786,-118.32064832569678,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"{TV,Pool,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",""Free street parking"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,Iron,""Laptop friendly workspace"",""Private living room"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",""BBQ grill"",""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",Other}",50.0,,$30.00,1,$0.00,2,31,2018-09-09,1,,,,,,,,t,flexible,f,f,1,0.31
40212,27311147,2018-07-09,within an hour,100%,f,2.0,['phone'],f,,Rowland Heights,91748,33.956394132500265,-117.91221059705765,House,Private room,2,1.0,1.0,1.0,Real Bed,"{Wifi,""Air conditioning"",""Free parking on premises"",""Smoking allowed"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers}",40.0,$100.00,$13.00,1,$18.00,3,30,2018-09-09,0,,,,,,,,t,flexible,f,f,2,
28512,21884741,2017-11-20,within an hour,100%,t,8.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",f,Westwood,Westwood,90049,34.07266656008595,-118.46546836525349,Apartment,Entire home/apt,4,2.0,2.0,4.0,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Gym,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Long term stays allowed"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Disabled parking spot"",""Step-free access"",""Wide doorway"",""Step-free access"",""Wide doorway"",""Wide clearance to shower, toilet"",""Step-free access"",""Wide entryway""}",145.0,$300.00,$150.00,1,$0.00,1,1125,2018-09-09,15,97.0,10.0,9.0,10.0,10.0,10.0,10.0,t,strict_14_with_grace_period,f,f,8,1.62
7571,7196849,2015-07-06,within an hour,100%,f,2.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'kba', 'government_id', 'work_email']",t,Mid-Wilshire,Hancock Park,90036,34.07425039266003,-118.33896770788857,House,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,Wifi,Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),Cat(s),""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",66.0,$100.00,$25.00,1,$25.00,1,31,2018-09-08,116,93.0,10.0,9.0,10.0,10.0,10.0,10.0,f,moderate,f,f,2,3.06
15530,14609935,2016-08-03,within an hour,100%,f,3.0,"['email', 'phone', 'google', 'reviews', 'jumio', 'offline_government_id', 'kba', 'government_id', 'work_email']",t,,Pomona,91768,34.06709013890137,-117.75434541429415,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Long term stays allowed"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Wide doorway"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""Step-free access"",""Wide entryway""}",109.0,$0.00,$95.00,4,$0.00,2,1125,2018-09-09,36,85.0,9.0,9.0,10.0,10.0,9.0,9.0,t,moderate,f,f,3,1.47
41542,27812733,2016-02-13,within an hour,100%,f,2.0,"['email', 'phone', 'reviews']",f,Glendora,Glendora,91741,34.13293918744869,-117.86332712164752,House,Entire home/apt,6,1.0,2.0,3.0,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private living room"",""Private entrance"",""Hot water"",""Long term stays allowed""}",100.0,$200.00,$100.00,1,$0.00,5,1125,2018-09-09,1,100.0,10.0,8.0,10.0,10.0,10.0,10.0,t,flexible,f,f,2,1.0
41335,27735818,2018-07-06,within an hour,100%,f,5.0,"['email', 'phone']",f,North Hollywood,Sun Valley,91605,34.221546069648326,-118.40534190694665,House,Entire home/apt,10,2.0,3.0,5.0,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",197.0,$350.00,$160.00,6,$25.00,2,1124,2018-09-09,0,,,,,,,,t,moderate,f,f,5,
36913,25775825,2016-02-27,within an hour,100%,t,8.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,Hollywood,Hollywood,90046,34.10019923734999,-118.35203331306705,House,Entire home/apt,12,4.5,4.0,8.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""Private living room"",""Fireplace guards"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Wide doorway"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""Step-free access"",""Wide entryway""}",491.0,"$1,000.00",$350.00,7,$100.00,1,1125,2018-09-08,0,,,,,,,,f,strict_14_with_grace_period,f,f,5,
